HomeClub	DateMatch	AwayClub	Sport	TournamentName
TPS Turku	2019-02-18 16:30:00.000	Kärpät Oulu	Ice Hockey	SM-Liiga
Kärpät Oulu	2019-02-25 16:30:00.000	HPK Hämeenlinna	Ice Hockey	SM-Liiga
Vaasan Sport	2019-02-18 16:30:00.000	HIFK Hockey	Ice Hockey	SM-Liiga
Saipa Lappeenranta	2019-02-26 16:30:00.000	Ässät Pori	Ice Hockey	SM-Liiga
Ratiopharm Ulm	2019-02-28 18:00:00.000	Bayern Munich	Basketball	BBL
Eisbären Bremerhaven	2019-02-28 19:30:00.000	Crailsheim Merlins	Basketball	BBL
Rasta Vechta	2019-02-28 19:30:00.000	Medi Bayreuth	Basketball	BBL
Aviron Bayonne	2019-02-21 19:00:00.000	Pays D Aix	Rugby League	Pro D2
RC Massy	2019-02-21 19:00:00.000	Soyaux Angoulême	Rugby League	Pro D2
Colomiers Rugby	2019-02-21 19:00:00.000	Biarritz Olympique	Rugby League	Pro D2
Biarritz Olympique	2019-02-27 19:45:00.000	Aviron Bayonne	Rugby League	Pro D2
Bourg	2019-02-21 19:00:00.000	US Carcassonne	Rugby League	Pro D2
AS Beziers Herault	2019-02-21 19:30:00.000	US Montauban	Rugby League	Pro D2
Stade Aurillacois	2019-02-21 19:00:00.000	USON Nevers	Rugby League	Pro D2
Dunkerque HB	2019-02-26 19:00:00.000	US Ivry Handball	Handball	LNH Division 1 Men
Tremblay En France	2019-02-12 19:30:00.000	Chambery Savoie	Handball	LNH Division 1 Men
Pays Aix Universite Club Handball	2019-02-26 19:00:00.000	Chambery Savoie	Handball	LNH Division 1 Men
HBC Nantes	2019-02-13 19:45:00.000	Dunkerque HB	Handball	LNH Division 1 Men
Toulouse Handball	2019-02-26 19:30:00.000	Tremblay En France	Handball	LNH Division 1 Men
Pays Aix Universite Club Handball	2019-02-12 19:45:00.000	Saint Raphael	Handball	LNH Division 1 Men
Saint Raphael	2019-02-26 19:00:00.000	Pontault-Combault HB	Handball	LNH Division 1 Men
US Ivry Handball	2019-02-12 19:30:00.000	Pontault-Combault HB	Handball	LNH Division 1 Men
Usam Nimes	2019-02-26 17:00:00.000	Paris Handball	Handball	LNH Division 1 Men
Usam Nimes	2019-02-12 19:00:00.000	OC Cesson Handball	Handball	LNH Division 1 Men
Istres Ouest Provence	2019-02-26 19:00:00.000	OC Cesson Handball	Handball	LNH Division 1 Men
HBC Nantes	2019-02-27 19:45:00.000	Montpellier Handball	Handball	LNH Division 1 Men
Toulouse Handball	2019-02-12 19:30:00.000	Montpellier Handball	Handball	LNH Division 1 Men
Rain Or Shine Elasto	2019-02-26 12:00:00.000	San Mig Coffee Mixers	Basketball	PBA
Air21 Express	2019-02-26 09:30:00.000	Blackwater Elite	Basketball	PBA
Suwon Kepco	2019-02-13 08:00:00.000	Ansan Rush&Cash	Volleyball	KOVO Cup
Western KB Star Insurance	2019-02-13 11:00:00.000	Cheonan Hyundai Capital Skywalkers	Volleyball	KOVO Cup
Deajeon Bluefangs	2019-02-12 08:00:00.000	Incheon Korean Air Jumbos	Volleyball	KOVO Cup
JT Thunders	2019-02-12 11:00:00.000	Seoul Woori Card Hansae	Volleyball	KOVO Cup
RD Ribnica Riko Hise	2019-02-26 19:15:00.000	RK Celje Pivovarna Lasko	Handball	1. liga
RK Maribor Branik	2019-02-13 19:15:00.000	RK Cimos Koper	Handball	1. liga
RK Jeruzalem Ormoz	2019-02-12 18:00:00.000	RK Gorenje Velenje	Handball	1. liga
MRK Krka	2019-02-25 19:00:00.000	RK Trimo Trebnje	Handball	1. liga
RK Celje Pivovarna Lasko	2019-02-12 17:00:00.000	RD Loka	Handball	1. liga
Team Lakkapää	2019-02-26 17:30:00.000	Savo Volley	Volleyball	Mestaruusliiga
Akaa Volley	2019-02-26 17:30:00.000	Valepa	Volleyball	Mestaruusliiga
MKS Zaglebie Lubin	2019-02-12 17:30:00.000	Vistal Gdynia	Handball	Superliga
Beskid Nowy Sacz - EKS Start Elblag	2019-02-12 17:00:00.000	MKS Lublin	Handball	Superliga
Malungs IF	2019-02-26 18:00:00.000	Mariestads Bois	Ice Hockey	HockeyEttan Vastra
Grums IK	2019-02-26 18:00:00.000	Lindlövens IF	Ice Hockey	HockeyEttan Vastra
Forshaga IF	2019-02-26 18:00:00.000	Koping HC	Ice Hockey	HockeyEttan Vastra
Borlänge HC	2019-02-24 18:00:00.000	Tranaas Aif	Ice Hockey	HockeyEttan Vastra
Tranaas Aif	2019-02-26 18:00:00.000	Surahammar	Ice Hockey	HockeyEttan Vastra
Skövde IK	2019-02-26 18:00:00.000	IFK Kumla	Ice Hockey	HockeyEttan Vastra
IFK Arboga	2019-02-26 18:00:00.000	Borlänge HC	Ice Hockey	HockeyEttan Vastra
Cincinnati Bengals	2019-02-14 01:20:00.000	Baltimore Ravens	American Football	NFL
Chicago Bears	2019-02-18 01:15:00.000	Seattle Seahawks	American Football	NFL
St. Louis Rams	2019-02-28 01:20:00.000	Minnesota Vikings	American Football	NFL
Tampa Bay Buccaneers	2019-02-25 01:15:00.000	Pittsburgh Steelers	American Football	NFL
Munster	2019-02-14 19:35:00.000	Ospreys	Rugby League	Pro14
Cardiff Blues	2019-02-21 19:35:00.000	Munster	Rugby League	Pro14
Leinster Lions	2019-02-15 17:15:00.000	Newport Gwent Dragons	Rugby League	Pro14
Edinburgh Rugby	2019-02-28 19:35:00.000	Benetton Treviso	Rugby League	Pro14
Scarlets	2019-02-15 17:15:00.000	Benetton Treviso	Rugby League	Pro14
Cardiff Blues	2019-02-28 19:35:00.000	Cheetahs	Rugby League	Pro14
Zebre	2019-02-15 19:35:00.000	Cardiff Blues	Rugby League	Pro14
Edinburgh Rugby	2019-02-14 19:35:00.000	Connacht Rugby	Rugby League	Pro14
Cheetahs	2019-02-15 18:30:00.000	Glasgow Warriors	Rugby League	Pro14
Cheetahs	2019-02-21 18:15:00.000	Ulster	Rugby League	Pro14
Counties Manukau	2019-02-15 03:05:00.000	Wellington	Rugby League	NPC
Bay of Plenty	2019-02-21 08:35:00.000	Waikato	Rugby League	NPC
Waikato	2019-02-13 08:35:00.000	Hawke´s Bay	Rugby League	NPC
North Harbour	2019-02-16 03:05:00.000	Bay of Plenty	Rugby League	NPC
North Harbour	2019-02-12 08:35:00.000	Canterbury	Rugby League	NPC
Hawke´s Bay	2019-02-22 03:35:00.000	North Harbour	Rugby League	NPC
Hawke´s Bay	2019-02-26 08:35:00.000	Northland	Rugby League	NPC
Auckland	2019-02-28 08:35:00.000	Otago	Rugby League	NPC
Bay of Plenty	2019-02-27 08:35:00.000	Manawatu	Rugby League	NPC
Tasman	2019-02-14 08:45:00.000	Taranaki	Rugby League	NPC
Waikato	2019-02-28 02:35:00.000	Southland	Rugby League	NPC
SG BBM Bietigheim	2019-02-12 18:30:00.000	TSV Bayer 04 Leverkusen	Handball	Women Bundesliga
Guildford Flames	2019-02-18 19:30:00.000	Fife Flyers	Ice Hockey	Elite League
Sheffield Steelers	2019-02-12 19:30:00.000	Fife Flyers	Ice Hockey	Elite League
Odense Bulldogs	2019-02-18 18:00:00.000	Frederikshavn White Hawks	Ice Hockey	Superisligaen
Sonderjyske Ishockey	2019-02-25 18:00:00.000	Frederikshavn White Hawks	Ice Hockey	Superisligaen
Rodovre Mighty Bulls	2019-02-25 18:00:00.000	Herning Blue Fox	Ice Hockey	Superisligaen
Aalborg Pirates	2019-02-25 18:00:00.000	Hvidovre Fighters	Ice Hockey	Superisligaen
Sonderjyske Ishockey	2019-02-18 18:00:00.000	Aalborg Pirates	Ice Hockey	Superisligaen
Hvidovre Fighters	2019-02-18 18:00:00.000	Esbjerg Energy	Ice Hockey	Superisligaen
Rungsted Ishockey	2019-02-25 18:00:00.000	Esbjerg Energy	Ice Hockey	Superisligaen
Herning Blue Fox	2019-02-18 18:00:00.000	Rungsted Ishockey	Ice Hockey	Superisligaen
Herlev Eagles	2019-02-18 18:00:00.000	Rodovre Mighty Bulls	Ice Hockey	Superisligaen
Herlev Eagles	2019-02-25 18:00:00.000	Odense Bulldogs	Ice Hockey	Superisligaen
Baseti	2019-02-12 19:00:00.000	Mecalia Atletico Guardes	Handball	Division De Honor Femenina
Rocasa ACE Gran Canaria	2019-02-25 17:30:00.000	Zuazo - Handbol Canyamelar Valencia	Handball	Division De Honor Femenina
HK Lida	2019-02-25 17:00:00.000	Yunost Minsk	Ice Hockey	Extraliga
Belarus	2019-02-27 17:00:00.000	Yunost Minsk	Ice Hockey	Extraliga
Metallurg Zhlobin	2019-02-13 17:00:00.000	Yunost Minsk	Ice Hockey	Extraliga
Shakhter Soligorsk	2019-02-11 17:00:00.000	Yunost Minsk	Ice Hockey	Extraliga
HK Lida	2019-02-27 17:00:00.000	Metallurg Zhlobin	Ice Hockey	Extraliga
HK Gomel	2019-02-11 17:00:00.000	Metallurg Zhlobin	Ice Hockey	Extraliga
HK Gomel	2019-02-18 17:00:00.000	Neman Grodno	Ice Hockey	Extraliga
Neman Grodno	2019-02-25 18:00:00.000	Shakhter Soligorsk	Ice Hockey	Extraliga
HC Dinamo Maladzyechna	2019-02-27 17:00:00.000	Shakhter Soligorsk	Ice Hockey	Extraliga
HK Gomel	2019-02-13 17:00:00.000	Shakhter Soligorsk	Ice Hockey	Extraliga
Shakhter Soligorsk	2019-02-18 17:00:00.000	Belarus	Ice Hockey	Extraliga
HK Lida	2019-02-13 17:00:00.000	Belarus	Ice Hockey	Extraliga
Neman Grodno	2019-02-27 17:00:00.000	HK Gomel	Ice Hockey	Extraliga
Metallurg Zhlobin	2019-02-18 17:00:00.000	HK Lida	Ice Hockey	Extraliga
Neman Grodno	2019-02-11 17:00:00.000	HK Lida	Ice Hockey	Extraliga
Belarus	2019-02-11 17:00:00.000	HC Dinamo Maladzyechna	Ice Hockey	Extraliga
Neman Grodno	2019-02-13 17:00:00.000	HC Dinamo Maladzyechna	Ice Hockey	Extraliga
Yunost Minsk	2019-02-18 17:00:00.000	HC Dinamo Maladzyechna	Ice Hockey	Extraliga
HC THP Topvar Topolcany	2019-02-26 17:00:00.000	HC Tatran Presov	Handball	Extraliga
Gjovik Mammuts	2019-02-27 18:00:00.000	Hasle/Loren Ishockey	Ice Hockey	1st Division
Kalmar HC	2019-02-26 18:00:00.000	HC Dalen	Ice Hockey	HockeyEttan Sodra
Morrum Gois IK	2019-02-26 18:00:00.000	IF Troja/Ljungby	Ice Hockey	HockeyEttan Sodra
Hanhals IF	2019-02-26 18:00:00.000	Nybro IF	Ice Hockey	HockeyEttan Sodra
Helsingborgs HC	2019-02-26 18:00:00.000	Kallinge/Ronneby IF	Ice Hockey	HockeyEttan Sodra
Halmstad Hammers	2019-02-26 18:00:00.000	Kristianstads IK	Ice Hockey	HockeyEttan Sodra
Tyringe Sos	2019-02-26 18:00:00.000	Vimmerby HC	Ice Hockey	HockeyEttan Sodra
Skaanela IF	2019-02-17 18:30:00.000	Vasterasirsta HF	Handball	Allsvenskan
HK Aranäs	2019-02-25 18:00:00.000	OV Helsingborg HK	Handball	Allsvenskan
FTC Budapest	2019-02-26 17:00:00.000	Pick Szeged	Handball	NB I
MKB Veszprem KC	2019-02-25 17:00:00.000	Balatonfuredi Kse	Handball	NB I
Pick Szeged	2019-02-11 17:00:00.000	Eger Sbs	Handball	NB I
OLS Oulu	2019-02-16 16:00:00.000	Espoon Oilers	Floorball	Salibandyliiga
Westend Indians	2019-02-28 16:30:00.000	FBT Pori	Floorball	Salibandyliiga
Viikingit	2019-02-16 15:00:00.000	FBT Pori	Floorball	Salibandyliiga
SB Welhot	2019-02-22 14:00:00.000	Classic Tampere	Floorball	Salibandyliiga
Nokian Kristityt Palloilijat	2019-02-28 16:30:00.000	Happee	Floorball	Salibandyliiga
Classic Tampere	2019-02-16 15:00:00.000	Happee	Floorball	Salibandyliiga
Happee	2019-02-22 15:00:00.000	OLS Oulu	Floorball	Salibandyliiga
SB Welhot	2019-02-26 16:30:00.000	OLS Oulu	Floorball	Salibandyliiga
Espoon Oilers	2019-02-28 16:30:00.000	LaSB	Floorball	Salibandyliiga
Nokian Kristityt Palloilijat	2019-02-17 16:30:00.000	SB Welhot	Floorball	Salibandyliiga
Nokian Kristityt Palloilijat	2019-02-24 16:30:00.000	TPS	Floorball	Salibandyliiga
LaSB	2019-02-16 14:00:00.000	TPS	Floorball	Salibandyliiga
FBT Pori	2019-02-21 17:00:00.000	SPV	Floorball	Salibandyliiga
Classic Tampere	2019-02-25 16:30:00.000	Steelers	Floorball	Salibandyliiga
Koovee	2019-02-16 16:30:00.000	Steelers	Floorball	Salibandyliiga
Espoon Oilers	2019-02-21 16:30:00.000	Viikingit	Floorball	Salibandyliiga
SPV	2019-02-16 15:00:00.000	Westend Indians	Floorball	Salibandyliiga
Koovee	2019-02-24 16:30:00.000	Westend Indians	Floorball	Salibandyliiga
FC Midtjylland	2019-02-17 18:30:00.000	Nykobing F.b Handboldklub	Handball	Cup
FC Midtjylland	2019-02-17 18:30:00.000	Nykobing F.b Handboldklub	Handball	Cup
Stjernen Hockey	2019-02-27 17:30:00.000	Lillehammer IK	Ice Hockey	Eliteserien
Stavanger Oilers	2019-02-13 17:00:00.000	Manglerud/Star	Ice Hockey	Eliteserien
Ringerike IHK	2019-02-18 17:30:00.000	Manglerud/Star	Ice Hockey	Eliteserien
Lillehammer IK	2019-02-18 18:00:00.000	Storhamar Dragons	Ice Hockey	Eliteserien
Stjernen Hockey	2019-02-13 17:30:00.000	Storhamar Dragons	Ice Hockey	Eliteserien
Stjernen Hockey	2019-02-18 17:30:00.000	Stavanger Oilers	Ice Hockey	Eliteserien
Storhamar Dragons	2019-02-11 17:30:00.000	Stavanger Oilers	Ice Hockey	Eliteserien
Manglerud/Star	2019-02-27 17:30:00.000	Frisk/Asker	Ice Hockey	Eliteserien
IHK Sparta Sarpsborg	2019-02-25 17:30:00.000	Frisk/Asker	Ice Hockey	Eliteserien
Lillehammer IK	2019-02-13 17:30:00.000	Frisk/Asker	Ice Hockey	Eliteserien
Stjernen Hockey	2019-02-11 17:30:00.000	IHK Sparta Sarpsborg	Ice Hockey	Eliteserien
Storhamar Dragons	2019-02-27 17:30:00.000	IHK Sparta Sarpsborg	Ice Hockey	Eliteserien
Ringerike IHK	2019-02-13 17:30:00.000	IHK Sparta Sarpsborg	Ice Hockey	Eliteserien
Valerenga IF	2019-02-18 17:30:00.000	IHK Sparta Sarpsborg	Ice Hockey	Eliteserien
Stavanger Oilers	2019-02-25 18:00:00.000	Valerenga IF	Ice Hockey	Eliteserien
Limoges CSP	2019-02-25 19:00:00.000	Villeurbanne - Gravelines Grand Fort BCM	Basketball	Pro A
Champ. Chalons Reims Basket	2019-02-25 19:00:00.000	FOS Ouest Provence Basket	Basketball	Pro A
Le Mans Basket	2019-02-25 19:00:00.000	Cholet Basket	Basketball	Pro A
Paris Levallois	2019-02-25 19:30:00.000	ES Chalon	Basketball	Pro A
FOS Ouest Provence Basket	2019-02-28 19:00:00.000	Dijon Bourgogne	Basketball	Pro A
Asvel Lyon-Villeurbanne	2019-02-25 19:00:00.000	Antibes Sharks	Basketball	Pro A
Pau Lacq Orthez	2019-02-27 19:45:00.000	AS Monaco	Basketball	Pro A
Dijon Bourgogne	2019-02-25 19:30:00.000	Boulazac Basket	Basketball	Pro A
Le Portel	2019-02-26 19:45:00.000	Strasbourg IG	Basketball	Pro A
Antibes Sharks	2019-02-28 19:30:00.000	Le Mans Basket	Basketball	Pro A
JSF Nanterre	2019-02-24 19:45:00.000	Jeunesse Laique de Bourg	Basketball	Pro A
Norway	2019-02-27 17:45:00.000	Poland	Handball	Int. Friendly Games
Denmark	2019-02-27 20:00:00.000	France	Handball	Int. Friendly Games
Richmond Tigers	2019-02-21 10:50:00.000	Collingwood Magpies	Aussie rules	AFL
Dizel Penza	2019-02-12 17:00:00.000	Chelmet Chelyabinsk	Ice Hockey	VHL
Toros Neftekamsk	2019-02-12 15:00:00.000	Ceng Tou	Ice Hockey	VHL
KRS Heilongjiang	2019-02-25 12:30:00.000	CSK VVS Samara	Ice Hockey	VHL
Torpedo - Ermak Angarsk	2019-02-12 12:00:00.000	Buran Voronezh	Ice Hockey	VHL
Ceng Tou	2019-02-17 11:30:00.000	Bars Kazan	Ice Hockey	VHL
HK Dinamo St Petersburg	2019-02-27 17:30:00.000	Gornyak Uchaly	Ice Hockey	VHL
Lada Togliatti	2019-02-12 16:00:00.000	Gornyak Uchaly	Ice Hockey	VHL
Saryarka	2019-02-17 14:00:00.000	Izhstal Izhevsk	Ice Hockey	VHL
Buran Voronezh	2019-02-26 17:00:00.000	HC Yugra Khanty-Mansiysk	Ice Hockey	VHL
HK Ryazan	2019-02-24 17:00:00.000	HC Yugra Khanty-Mansiysk	Ice Hockey	VHL
HK Dinamo St Petersburg	2019-02-11 17:30:00.000	HC Yugra Khanty-Mansiysk	Ice Hockey	VHL
Sokol Krasnoyarsk	2019-02-12 13:00:00.000	HK Ryazan	Ice Hockey	VHL
HC Tambov	2019-02-27 16:30:00.000	HK Sarov	Ice Hockey	VHL
Metallurg Novokuznetsk	2019-02-12 13:00:00.000	HK Sarov	Ice Hockey	VHL
CSK VVS Samara	2019-02-12 16:00:00.000	Prikamje Perm - Yuzhny Ural Orsk	Ice Hockey	VHL
VMF St Petersburg	2019-02-27 17:00:00.000	Prikamje Perm - Yuzhny Ural Orsk	Ice Hockey	VHL
Khimik Voskresensk	2019-02-24 16:30:00.000	Neftyanik Almetyevsk	Ice Hockey	VHL
Zvezda Chekhov	2019-02-26 17:00:00.000	Neftyanik Almetyevsk	Ice Hockey	VHL
Kazzink	2019-02-17 13:30:00.000	Molot	Ice Hockey	VHL
Dizel Penza	2019-02-27 17:00:00.000	Kazzink	Ice Hockey	VHL
Neftyanik Almetyevsk	2019-02-12 16:30:00.000	KRS Heilongjiang	Ice Hockey	VHL
Chelmet Chelyabinsk	2019-02-25 14:30:00.000	Metallurg Novokuznetsk	Ice Hockey	VHL
Zauralye Kurgan	2019-02-27 14:30:00.000	Metallurg Novokuznetsk	Ice Hockey	VHL
Khimik Voskresensk	2019-02-26 16:30:00.000	Toros Neftekamsk	Ice Hockey	VHL
Zvezda Chekhov	2019-02-24 17:00:00.000	Toros Neftekamsk	Ice Hockey	VHL
Prikamje Perm - Yuzhny Ural Orsk	2019-02-17 14:30:00.000	Torpedo - Ermak Angarsk	Ice Hockey	VHL
Bars Kazan	2019-02-27 16:30:00.000	Saryarka	Ice Hockey	VHL
Buran Voronezh	2019-02-24 17:00:00.000	Rubin Tyumen	Ice Hockey	VHL
HK Ryazan	2019-02-26 17:00:00.000	Rubin Tyumen	Ice Hockey	VHL
VMF St Petersburg	2019-02-11 17:00:00.000	Rubin Tyumen	Ice Hockey	VHL
Zauralye Kurgan	2019-02-25 14:30:00.000	Sokol Krasnoyarsk	Ice Hockey	VHL
Bars Kazan	2019-02-12 16:30:00.000	Zauralye Kurgan	Ice Hockey	VHL
Winnipeg Blue Bombers	2019-02-22 01:30:00.000	Montreal Alouettes	American Football	CFL
Färjestads BK	2019-02-11 18:00:00.000	Mora IK	Ice Hockey	Club Friendlies
Brynäs IF	2019-02-11 18:00:00.000	Timraa IK	Ice Hockey	Club Friendlies
Luleaa Hockey	2019-02-11 18:00:00.000	IF Björklöven	Ice Hockey	Club Friendlies
HC Ambri Piotta	2019-02-11 19:00:00.000	HC Davos	Ice Hockey	Club Friendlies
EC S.feldkirch	2019-02-18 18:30:00.000	EHC Bregenzerwald	Ice Hockey	Alps Hockey League
